Varsta 23
Ocupatie Inginer
Mana dreptaci
Foloseste stanga

=== SESSION START: 2025-06-13 20:12:55 ===
[2025-06-13 20:21:02.156] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-13 20:21:03.777] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:21:03.803] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-13 20:21:12.652] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-13 20:21:12.666] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-13 20:21:14.882] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-13 20:21:14.896] UART: {'type': 'proxy', 'key': 'distance', 'value': 65}
[2025-06-13 20:21:16.292] UART: {'type': 'volume', 'key': '1', 'value': 1263}
[2025-06-13 20:21:16.336] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
[2025-06-13 20:21:16.440] UART: {'type': 'volume', 'key': '1', 'value': 1154}
[2025-06-13 20:21:16.470] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:21:16.670] UART: {'type': 'volume', 'key': '1', 'value': 1093}
[2025-06-13 20:21:16.728] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 20:21:16.812] UART: {'type': 'volume', 'key': '1', 'value': 1040}
[2025-06-13 20:21:16.849] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:21:16.939] UART: {'type': 'volume', 'key': '1', 'value': 983}
[2025-06-13 20:21:16.978] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
