Varsta 22
Ocupatie Inginer
Mana stangaci
Foloseste stanga

=== SESSION START: 2025-06-14 13:15:38 ===
[2025-06-14 13:26:44.789] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:26:44.810] UART: {'type': 'proxy', 'key': 'distance', 'value': 75}
[2025-06-14 13:26:48.839] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:26:48.848] UART: {'type': 'proxy', 'key': 'distance', 'value': 36}
[2025-06-14 13:27:21.902] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:27:21.913] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:27:56.458] UART: {'type': 'volume', 'key': '0', 'value': 466}
[2025-06-14 13:27:56.474] UART: {'type': 'proxy', 'key': 'distance', 'value': 93}
[2025-06-14 13:27:56.908] UART: {'type': 'volume', 'key': '0', 'value': 414}
[2025-06-14 13:27:56.955] UART: {'type': 'proxy', 'key': 'distance', 'value': 93}
[2025-06-14 13:27:58.951] UART: {'type': 'volume', 'key': '1', 'value': 1438}
[2025-06-14 13:27:58.998] UART: {'type': 'proxy', 'key': 'distance', 'value': 98}
[2025-06-14 13:28:22.892] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:28:22.901] UART: {'type': 'proxy', 'key': 'distance', 'value': 40}
[2025-06-14 13:28:26.001] UART: {'type': 'volume', 'key': '0', 'value': 479}
[2025-06-14 13:28:26.015] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-14 13:28:26.189] UART: {'type': 'volume', 'key': '0', 'value': 530}
[2025-06-14 13:28:26.225] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-14 13:28:27.833] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-14 13:28:27.868] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-14 13:28:29.689] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-14 13:28:29.711] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-14 13:28:35.917] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-14 13:28:35.966] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-14 13:28:37.766] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-14 13:28:37.800] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
